arch,category,rule,count,expanded_count,path
WS,user_guide,USER_GUIDE.M7,14,14,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_drc_backend_datatype_preserve_patch.rep
WS,user_guide,USER_GUIDE.M9,4,4,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_drc_backend_datatype_preserve_patch.rep
WS,user_guide,USER_GUIDE.M10,36,36,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_drc_backend_datatype_preserve_patch.rep
WS,user_guide,USER_GUIDE.VIA6,1326,1346,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_drc_backend_datatype_preserve_patch.rep
WS,user_guide,USER_GUIDE.VIA7,1320,1320,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_drc_backend_datatype_preserve_patch.rep
WS,user_guide,USER_GUIDE.VIA8,344,344,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_drc_backend_datatype_preserve_patch.rep
WS,user_guide,USER_GUIDE.VIA9,696,696,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_drc_backend_datatype_preserve_patch.rep
WS,warning,IO_CONNECT_CORE_NET_VOLTAGE_IS_CORE:WARNING1,1,1,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_drc_backend_datatype_preserve_patch.rep
WS,warning,FLIP_CHIP_WITHOUT_28K_AP:WARNING,1,1,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_drc_backend_datatype_preserve_patch.rep
WS,warning,DIODMY_L:WARNING,1,1,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_drc_backend_datatype_preserve_patch.rep
WS,geometry,G.4:M1i,2381,2381,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_drc_backend_datatype_preserve_patch.rep
WS,geometry,G.4:M2i,347,347,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_drc_backend_datatype_preserve_patch.rep
