arch,attempt,status,result,top_result,incorrect_cells,incorrect_nets,incorrect_instances,incorrect_ports,mismatch_score,errors,warnings,mtime,path
WS,lvs,CHECK_REQUIRED,INCORRECT,INCORRECT,1,384,0,0,394,Connectivity errors.; Different numbers of nets.; Property errors.,Ambiguity points were found and resolved arbitrarily.; Unbalanced smashed mosfets were matched.,1777170488,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_lvs.rep
WS,lvs_box,CHECK_REQUIRED,INCORRECT,INCORRECT,1,368,0,0,378,Connectivity errors.; Different numbers of nets.,,1777169407,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_lvs_box.rep
WS,lvs_box_sourcebox,CHECK_REQUIRED,NOT_COMPARED,,0,0,0,0,900000000,"No matching .SUBCKT statements for 8 unique cells (BUFFD12BWP12T40P140, BUFFD16BWP12T40P140, BUFFD1BWP12T40P140, BUFFD2BWP12T40P140, CKBD8BWP12T40P140, INVD1BWP12T40P140, INVD2BWP12T40P140, INVD3BWP12T40P140)",,1777169554,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_lvs_box_sourcebox.rep
WS,lvs_box_sourcebox_stubs,CHECK_REQUIRED,INCORRECT,INCORRECT,1,368,0,1,1000378,Connectivity errors.; Different numbers of nets.; Different numbers of ports.,,1777169731,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_lvs_box_sourcebox_stubs.rep
WS,lvs_datatype_preserve_patch,CHECK_REQUIRED,INCORRECT,INCORRECT,1,1000,1000,1,2001010,Connectivity errors.; Different numbers of instances.; Different numbers of nets.; Different numbers of ports.,,1777166352,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_lvs_datatype_preserve_patch.rep
WS,lvs_default_unpatched,CHECK_REQUIRED,INCORRECT,INCORRECT,1,413,0,0,423,Connectivity errors.; Different numbers of nets.,Ambiguity points were found and resolved arbitrarily.,1777166216,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_lvs_default_unpatched.rep
WS,lvs_gds_labeled,CHECK_REQUIRED,INCORRECT,INCORRECT,1,413,0,0,423,Connectivity errors.; Different numbers of nets.,Ambiguity points were found and resolved arbitrarily.,1777170212,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_lvs_gds_labeled.rep
WS,lvs_innovus_logic,CHECK_REQUIRED,INCORRECT,INCORRECT,1,384,0,0,394,Connectivity errors.; Different numbers of nets.; Property errors.,Ambiguity points were found and resolved arbitrarily.; Unbalanced smashed mosfets were matched.,1777169262,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_lvs_innovus_logic.rep
WS,lvs_ports_only,CHECK_REQUIRED,INCORRECT,INCORRECT,45,2,0,0,452,Cells with non-floating extra pins.; Connectivity errors.; Different numbers of nets.,Ambiguity points were found and resolved arbitrarily.; Extra ports in layout.,1777168181,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_lvs_ports_only.rep
WS,lvs_ports_only_fixed,CHECK_REQUIRED,INCORRECT,INCORRECT,1,384,0,0,394,Connectivity errors.; Different numbers of nets.; Property errors.,Ambiguity points were found and resolved arbitrarily.; Unbalanced smashed mosfets were matched.,1777170294,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_lvs_ports_only_fixed.rep
WS,lvs_ports_only_flat,CHECK_REQUIRED,INCORRECT,INCORRECT,1,483,0,0,493,Connectivity errors.; Different numbers of nets.; Property errors.,Ambiguity points were found and resolved arbitrarily.; Unbalanced smashed mosfets were matched.,1777168819,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_lvs_ports_only_flat.rep
WS,lvs_ports_only_nocase,CHECK_REQUIRED,INCORRECT,INCORRECT,1,384,0,0,394,Connectivity errors.; Different numbers of nets.; Property errors.,Ambiguity points were found and resolved arbitrarily.; Unbalanced smashed mosfets were matched.,1777169204,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_lvs_ports_only_nocase.rep
WS,lvs_ports_only_nostdlib,CHECK_REQUIRED,INCORRECT,INCORRECT,1,384,0,0,394,Connectivity errors.; Different numbers of nets.; Property errors.,Ambiguity points were found and resolved arbitrarily.; Unbalanced smashed mosfets were matched.,1777214467,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_lvs_ports_only_nostdlib.rep
WS,lvs_ports_only_stdlib,CHECK_REQUIRED,INCORRECT,INCORRECT,1,384,0,0,394,Connectivity errors.; Different numbers of nets.; Property errors.,Ambiguity points were found and resolved arbitrarily.; Unbalanced smashed mosfets were matched.,1777168438,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_lvs_ports_only_stdlib.rep
WS,lvs_ports_power_globals_yes,CHECK_REQUIRED,INCORRECT,INCORRECT,1,384,0,1,1000394,Connectivity errors.; Different numbers of nets.; Different numbers of ports.; Property errors.,Ambiguity points were found and resolved arbitrarily.; Unbalanced smashed mosfets were matched.,1777169977,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_lvs_ports_power_globals_yes.rep
WS,lvs_ports_power_ports,CHECK_REQUIRED,INCORRECT,INCORRECT,1,384,0,1,1000394,Connectivity errors.; Different numbers of nets.; Different numbers of ports.; Property errors.,Ambiguity points were found and resolved arbitrarily.; Unbalanced smashed mosfets were matched.,1777169924,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_lvs_ports_power_ports.rep
WS,lvs_property_nettext2,CHECK_REQUIRED,INCORRECT,INCORRECT,1,384,0,0,394,Connectivity errors.; Different numbers of nets.; Property errors.,Ambiguity points were found and resolved arbitrarily.; Unbalanced smashed mosfets were matched.,1777170346,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_lvs_property_nettext2.rep
WS,lvs_unique_case,CHECK_REQUIRED,INCORRECT,INCORRECT,1,413,0,0,423,Connectivity errors.; Different numbers of nets.,Ambiguity points were found and resolved arbitrarily.,1777167614,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_lvs_unique_case.rep
WS,lvs_unpatched_gds,CHECK_REQUIRED,INCORRECT,INCORRECT,1,413,0,0,423,Connectivity errors.; Different numbers of nets.,Ambiguity points were found and resolved arbitrarily.,1777165967,/home/host_1/systolic_array_edge/asic_commercial/ws/reports/calibre/ws_core_std_top_4x4_lvs_unpatched_gds.rep
OS,lvs,CHECK_REQUIRED,INCORRECT,INCORRECT,1,324,0,0,334,Connectivity errors.; Different numbers of nets.,Ambiguity points were found and resolved arbitrarily.,1777200964,/home/host_1/systolic_array_edge/asic_commercial/os/reports/calibre/os_core_std_top_4x4_lvs.rep
OS,lvs_ports_only_nostdlib,CHECK_REQUIRED,INCORRECT,INCORRECT,1,324,0,0,334,Connectivity errors.; Different numbers of nets.,Ambiguity points were found and resolved arbitrarily.,1777214581,/home/host_1/systolic_array_edge/asic_commercial/os/reports/calibre/os_core_std_top_4x4_lvs_ports_only_nostdlib.rep
IS,lvs,CHECK_REQUIRED,INCORRECT,INCORRECT,1,503,0,0,513,Connectivity errors.; Different numbers of nets.; Property errors.,Ambiguity points were found and resolved arbitrarily.; Unbalanced smashed mosfets were matched.,1777201047,/home/host_1/systolic_array_edge/asic_commercial/is/reports/calibre/is_core_std_top_4x4_lvs.rep
IS,lvs_ports_only_nostdlib,CHECK_REQUIRED,INCORRECT,INCORRECT,1,503,0,0,513,Connectivity errors.; Different numbers of nets.; Property errors.,Ambiguity points were found and resolved arbitrarily.; Unbalanced smashed mosfets were matched.,1777214702,/home/host_1/systolic_array_edge/asic_commercial/is/reports/calibre/is_core_std_top_4x4_lvs_ports_only_nostdlib.rep
DIP,lvs,CHECK_REQUIRED,INCORRECT,INCORRECT,1,1003,0,0,1013,Connectivity errors.; Different numbers of nets.; Property errors.,Ambiguity points were found and resolved arbitrarily.,1777201125,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_lvs.rep
DIP,lvs_patched_ports_only_nostdlib,CHECK_REQUIRED,INCORRECT,INCORRECT,1,1000,1000,1,2001010,Connectivity errors.; Different numbers of instances.; Different numbers of nets.; Different numbers of ports.,,1777217178,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_lvs_patched_ports_only_nostdlib.rep
DIP,lvs_patchedgds_ports_only,CHECK_REQUIRED,INCORRECT,INCORRECT,1,1003,0,0,1013,Connectivity errors.; Different numbers of nets.; Property errors.,Ambiguity points were found and resolved arbitrarily.,1777216178,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_lvs_patchedgds_ports_only.rep
DIP,lvs_ports_only_nostdlib,CHECK_REQUIRED,INCORRECT,INCORRECT,1,1003,0,0,1013,Connectivity errors.; Different numbers of nets.; Property errors.,Ambiguity points were found and resolved arbitrarily.,1777217010,/home/host_1/systolic_array_edge/asic_commercial/dip/reports/calibre/dip_core_std_top_4x4_lvs_ports_only_nostdlib.rep
