arch,kind,status,bytes,mtime,sha256,path
WS,gds,PRESENT,16869376,1777226050,8a19cfceb187f1ae3b2ffa5464b0c08efac2122f4e8960b3659d75c0062dc020,/home/host_1/systolic_array_edge/asic_commercial/ws/results/innovus/ws_core_std_top_4x4.gds
WS,def,PRESENT,3228355,1777226023,f6e21027938264405bdce804259d39178f8c3bbae11f945a73c9d3ea2136272c,/home/host_1/systolic_array_edge/asic_commercial/ws/results/innovus/ws_core_std_top_4x4.def
WS,sdf,PRESENT,15041717,1777226022,8a6806f4fc1e0d68708ea3019a5da8a2c8371aeec59cc0ca9afd71378080fba9,/home/host_1/systolic_array_edge/asic_commercial/ws/results/innovus/ws_core_std_top_4x4_innovus.sdf
WS,netlist,PRESENT,1757074,1777226004,3fbf9ba2470c2df028428b7b7a93ae0dcc50247582189b70310bec4085fea3be,/home/host_1/systolic_array_edge/asic_commercial/ws/results/innovus/ws_core_std_top_4x4_innovus.v
WS,lvs_netlist,PRESENT,3496158,1777226004,bbc746dd8b23ecc158b758db028a1db32c454ba59fc755e995a1234066245ec6,/home/host_1/systolic_array_edge/asic_commercial/ws/results/innovus/ws_core_std_top_4x4_innovus_lvs.v
WS,view_layout_script,PRESENT,1627,1777182773,27cf27ff7c4c945bd0f829decaecb8ca34a05700748f7a7b0b74060eb172d4fb,/home/host_1/systolic_array_edge/asic_commercial/ws/scripts/view_layout.sh
WS,innovus_gui_script,PRESENT,427,1777166715,33464eca6544a6195c1b1fed1ffba8f49d6a7edbd3259bf06666ef1d7e887075,/home/host_1/systolic_array_edge/asic_commercial/ws/scripts/run_innovus_gui.sh
WS,virtuoso_layout_script,PRESENT,309,1777198156,762f5dfca5a8176ac21437233a62938d115ef729bd52e502ebddcdf5ae9cc4c1,/home/host_1/systolic_array_edge/asic_commercial/ws/scripts/run_virtuoso_layout.sh
OS,gds,PRESENT,16633856,1777172118,e27adc00fc97bf94c5acc615a3d29583983b951ac41e04b72e234e4f7541ad20,/home/host_1/systolic_array_edge/asic_commercial/os/results/innovus/os_core_std_top_4x4.gds
OS,def,PRESENT,3133017,1777172107,b8675b7aa6e540a51d20eecb54f8cbf6adb5759846f47318ef8c4cf8ddebcb11,/home/host_1/systolic_array_edge/asic_commercial/os/results/innovus/os_core_std_top_4x4.def
OS,sdf,PRESENT,14087281,1777172107,ad2d2a5abdddafedbde0d312c106051531949b1be21b9f886d789ee47a4232cf,/home/host_1/systolic_array_edge/asic_commercial/os/results/innovus/os_core_std_top_4x4_innovus.sdf
OS,netlist,PRESENT,1733352,1777172100,60eb65102a0f008913df40e0a30354af5b8f358c565ff7b8ba2a03590d468401,/home/host_1/systolic_array_edge/asic_commercial/os/results/innovus/os_core_std_top_4x4_innovus.v
OS,lvs_netlist,PRESENT,3417083,1777172100,e02314288c6a98d556b110586638323fa8f986449f2f7d126caf38381c7a6cef,/home/host_1/systolic_array_edge/asic_commercial/os/results/innovus/os_core_std_top_4x4_innovus_lvs.v
OS,view_layout_script,PRESENT,1627,1777182773,7b19253379e04b8b4c7ca084b58d4c1084330fb426c6c915ad6a324239e5e160,/home/host_1/systolic_array_edge/asic_commercial/os/scripts/view_layout.sh
OS,innovus_gui_script,PRESENT,305,1777134572,e63d72f7b9dace3fae535247ef7c9f8cafe34813b5f2c8aa1b3cf9655a2aaea8,/home/host_1/systolic_array_edge/asic_commercial/os/scripts/run_innovus_gui.sh
OS,virtuoso_layout_script,PRESENT,309,1777134572,762f5dfca5a8176ac21437233a62938d115ef729bd52e502ebddcdf5ae9cc4c1,/home/host_1/systolic_array_edge/asic_commercial/os/scripts/run_virtuoso_layout.sh
IS,gds,PRESENT,17385472,1777170373,2e3528593885252584903e984fa16e63cf433a084a021bd1214e0a542cc581a5,/home/host_1/systolic_array_edge/asic_commercial/is/results/innovus/is_core_std_top_4x4.gds
IS,def,PRESENT,3155918,1777170362,11166250466efe6d6380f35a7a7c00ebfb4c74e58d302033c0bfc6302c2c7e8c,/home/host_1/systolic_array_edge/asic_commercial/is/results/innovus/is_core_std_top_4x4.def
IS,sdf,PRESENT,15067186,1777170361,eff0b59c93fd83517b8cbcf869a5b0e0e5c606011ab5cd7c8b82ed2299b04d98,/home/host_1/systolic_array_edge/asic_commercial/is/results/innovus/is_core_std_top_4x4_innovus.sdf
IS,netlist,PRESENT,1778028,1777170355,a980005341d3453716397ed59caeaf84098765bda6443e48dd21082fb6892485,/home/host_1/systolic_array_edge/asic_commercial/is/results/innovus/is_core_std_top_4x4_innovus.v
IS,lvs_netlist,PRESENT,3451059,1777170355,298418e2a2eaf363f523d10f33596c250152ed139778f7dca2576a8b05fbd854,/home/host_1/systolic_array_edge/asic_commercial/is/results/innovus/is_core_std_top_4x4_innovus_lvs.v
IS,view_layout_script,PRESENT,1627,1777182773,c9c8f87baf03e9498b11b9b29afdf3535c7d532b74ec1c865697b71e2823a608,/home/host_1/systolic_array_edge/asic_commercial/is/scripts/view_layout.sh
IS,innovus_gui_script,PRESENT,305,1777134572,e63d72f7b9dace3fae535247ef7c9f8cafe34813b5f2c8aa1b3cf9655a2aaea8,/home/host_1/systolic_array_edge/asic_commercial/is/scripts/run_innovus_gui.sh
IS,virtuoso_layout_script,PRESENT,309,1777134572,762f5dfca5a8176ac21437233a62938d115ef729bd52e502ebddcdf5ae9cc4c1,/home/host_1/systolic_array_edge/asic_commercial/is/scripts/run_virtuoso_layout.sh
DIP,gds,PRESENT,18403328,1777189783,8846d23c1f729cb0379420d4feed9ef87bb65d3bdb21aa88dee3417286689e3c,/home/host_1/systolic_array_edge/asic_commercial/dip/results/innovus/dip_core_std_top_4x4.gds
DIP,def,PRESENT,2576122,1777189755,47fd9c63d3b02aa2adac0f2a8e1df89073e0a19c32ac8cc34f0c96be0a0651f9,/home/host_1/systolic_array_edge/asic_commercial/dip/results/innovus/dip_core_std_top_4x4.def
DIP,sdf,PRESENT,15925179,1777189755,1f9c8313a308586a530b770cdf2cb41183a2b37df20fbcfd5ec603f92277034b,/home/host_1/systolic_array_edge/asic_commercial/dip/results/innovus/dip_core_std_top_4x4_innovus.sdf
DIP,netlist,PRESENT,1740220,1777189738,335028faf76435c6cea80353ebf4c213f8d35611eb4de79b8df90ff171304a59,/home/host_1/systolic_array_edge/asic_commercial/dip/results/innovus/dip_core_std_top_4x4_innovus.v
