$ bash /home/host_1/systolic_array_edge/asic_commercial/os/scripts/run_postsim_suite.sh innovus

[dip-flow][INFO] Running gate postsim suite stage=innovus
[dip-flow][INFO]   flavor=plain
[dip-flow][INFO]   netlist=/home/host_1/systolic_array_edge/asic_commercial/os/results/innovus/os_core_std_top_4x4_innovus.v
[dip-flow][INFO]   sdf=/home/host_1/systolic_array_edge/asic_commercial/os/results/innovus/os_core_std_top_4x4_innovus.sdf
[dip-flow][INFO]   vector_dir=/home/host_1/systolic_array_edge/test_vectors/thesis/random_seed_2026042601
[dip-flow][INFO]   force_clock_gates_open=0
GATE_CASE stage=innovus case=rand_000 status=PASS
GATE_TXT_CASE stage=innovus case=rand_000 status=PASS
GATE_CASE stage=innovus case=rand_001 status=PASS
GATE_TXT_CASE stage=innovus case=rand_001 status=PASS
GATE_CASE stage=innovus case=rand_002 status=PASS
GATE_TXT_CASE stage=innovus case=rand_002 status=PASS
GATE_CASE stage=innovus case=rand_003 status=PASS
GATE_TXT_CASE stage=innovus case=rand_003 status=PASS
GATE_CASE stage=innovus case=rand_004 status=PASS
GATE_TXT_CASE stage=innovus case=rand_004 status=PASS
GATE_CASE stage=innovus case=rand_005 status=PASS
GATE_TXT_CASE stage=innovus case=rand_005 status=PASS
GATE_CASE stage=innovus case=rand_006 status=PASS
GATE_TXT_CASE stage=innovus case=rand_006 status=PASS
GATE_CASE stage=innovus case=rand_007 status=PASS
GATE_TXT_CASE stage=innovus case=rand_007 status=PASS
GATE_CASE stage=innovus case=rand_008 status=PASS
GATE_TXT_CASE stage=innovus case=rand_008 status=PASS
GATE_CASE stage=innovus case=rand_009 status=PASS
GATE_TXT_CASE stage=innovus case=rand_009 status=PASS
GATE_CASE stage=innovus case=rand_010 status=PASS
GATE_TXT_CASE stage=innovus case=rand_010 status=PASS
GATE_CASE stage=innovus case=rand_011 status=PASS
GATE_TXT_CASE stage=innovus case=rand_011 status=PASS
GATE_CASE stage=innovus case=rand_012 status=PASS
GATE_TXT_CASE stage=innovus case=rand_012 status=PASS
GATE_CASE stage=innovus case=rand_013 status=PASS
GATE_TXT_CASE stage=innovus case=rand_013 status=PASS
GATE_CASE stage=innovus case=rand_014 status=PASS
GATE_TXT_CASE stage=innovus case=rand_014 status=PASS
GATE_CASE stage=innovus case=rand_015 status=PASS
GATE_TXT_CASE stage=innovus case=rand_015 status=PASS
GATE_CASE stage=innovus case=rand_016 status=PASS
GATE_TXT_CASE stage=innovus case=rand_016 status=PASS
GATE_CASE stage=innovus case=rand_017 status=PASS
GATE_TXT_CASE stage=innovus case=rand_017 status=PASS
GATE_CASE stage=innovus case=rand_018 status=PASS
GATE_TXT_CASE stage=innovus case=rand_018 status=PASS
GATE_CASE stage=innovus case=rand_019 status=PASS
GATE_TXT_CASE stage=innovus case=rand_019 status=PASS
GATE_CASE stage=innovus case=rand_020 status=PASS
GATE_TXT_CASE stage=innovus case=rand_020 status=PASS
GATE_CASE stage=innovus case=rand_021 status=PASS
GATE_TXT_CASE stage=innovus case=rand_021 status=PASS
GATE_CASE stage=innovus case=rand_022 status=PASS
GATE_TXT_CASE stage=innovus case=rand_022 status=PASS
GATE_CASE stage=innovus case=rand_023 status=PASS
GATE_TXT_CASE stage=innovus case=rand_023 status=PASS
GATE_CASE stage=innovus case=rand_024 status=PASS
GATE_TXT_CASE stage=innovus case=rand_024 status=PASS
GATE_CASE stage=innovus case=rand_025 status=PASS
GATE_TXT_CASE stage=innovus case=rand_025 status=PASS
GATE_CASE stage=innovus case=rand_026 status=PASS
GATE_TXT_CASE stage=innovus case=rand_026 status=PASS
GATE_CASE stage=innovus case=rand_027 status=PASS
GATE_TXT_CASE stage=innovus case=rand_027 status=PASS
GATE_CASE stage=innovus case=rand_028 status=PASS
GATE_TXT_CASE stage=innovus case=rand_028 status=PASS
GATE_CASE stage=innovus case=rand_029 status=PASS
GATE_TXT_CASE stage=innovus case=rand_029 status=PASS
GATE_CASE stage=innovus case=rand_030 status=PASS
GATE_TXT_CASE stage=innovus case=rand_030 status=PASS
GATE_CASE stage=innovus case=rand_031 status=PASS
GATE_TXT_CASE stage=innovus case=rand_031 status=PASS
GATE_CASE stage=innovus case=rand_032 status=PASS
GATE_TXT_CASE stage=innovus case=rand_032 status=PASS
GATE_CASE stage=innovus case=rand_033 status=PASS
GATE_TXT_CASE stage=innovus case=rand_033 status=PASS
GATE_CASE stage=innovus case=rand_034 status=PASS
GATE_TXT_CASE stage=innovus case=rand_034 status=PASS
GATE_CASE stage=innovus case=rand_035 status=PASS
GATE_TXT_CASE stage=innovus case=rand_035 status=PASS
GATE_CASE stage=innovus case=rand_036 status=PASS
GATE_TXT_CASE stage=innovus case=rand_036 status=PASS
GATE_CASE stage=innovus case=rand_037 status=PASS
GATE_TXT_CASE stage=innovus case=rand_037 status=PASS
GATE_CASE stage=innovus case=rand_038 status=PASS
GATE_TXT_CASE stage=innovus case=rand_038 status=PASS
GATE_CASE stage=innovus case=rand_039 status=PASS
GATE_TXT_CASE stage=innovus case=rand_039 status=PASS
GATE_CASE stage=innovus case=rand_040 status=PASS
GATE_TXT_CASE stage=innovus case=rand_040 status=PASS
GATE_CASE stage=innovus case=rand_041 status=PASS
GATE_TXT_CASE stage=innovus case=rand_041 status=PASS
GATE_CASE stage=innovus case=rand_042 status=PASS
GATE_TXT_CASE stage=innovus case=rand_042 status=PASS
GATE_CASE stage=innovus case=rand_043 status=PASS
GATE_TXT_CASE stage=innovus case=rand_043 status=PASS
