$ bash /home/host_1/systolic_array_edge/asic_commercial/os/scripts/run_postsim_suite.sh innovus

[dip-flow][INFO] Running gate postsim suite stage=innovus
[dip-flow][INFO]   flavor=plain
[dip-flow][INFO]   netlist=/home/host_1/systolic_array_edge/asic_commercial/os/results/innovus/os_core_std_top_4x4_innovus.v
[dip-flow][INFO]   sdf=/home/host_1/systolic_array_edge/asic_commercial/os/results/innovus/os_core_std_top_4x4_innovus.sdf
[dip-flow][INFO]   vector_dir=/home/host_1/systolic_array_edge/test_vectors/thesis/sparse_90
[dip-flow][INFO]   force_clock_gates_open=0
GATE_CASE stage=innovus case=sp90_000 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_000 status=PASS
GATE_CASE stage=innovus case=sp90_001 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_001 status=PASS
GATE_CASE stage=innovus case=sp90_002 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_002 status=PASS
GATE_CASE stage=innovus case=sp90_003 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_003 status=PASS
GATE_CASE stage=innovus case=sp90_004 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_004 status=PASS
GATE_CASE stage=innovus case=sp90_005 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_005 status=PASS
GATE_CASE stage=innovus case=sp90_006 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_006 status=PASS
GATE_CASE stage=innovus case=sp90_007 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_007 status=PASS
GATE_CASE stage=innovus case=sp90_008 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_008 status=PASS
GATE_CASE stage=innovus case=sp90_009 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_009 status=PASS
GATE_CASE stage=innovus case=sp90_010 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_010 status=PASS
GATE_CASE stage=innovus case=sp90_011 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_011 status=PASS
GATE_CASE stage=innovus case=sp90_012 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_012 status=PASS
GATE_CASE stage=innovus case=sp90_013 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_013 status=PASS
GATE_CASE stage=innovus case=sp90_014 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_014 status=PASS
GATE_CASE stage=innovus case=sp90_015 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_015 status=PASS
GATE_CASE stage=innovus case=sp90_016 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_016 status=PASS
GATE_CASE stage=innovus case=sp90_017 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_017 status=PASS
GATE_CASE stage=innovus case=sp90_018 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_018 status=PASS
GATE_CASE stage=innovus case=sp90_019 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_019 status=PASS
GATE_CASE stage=innovus case=sp90_020 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_020 status=PASS
GATE_CASE stage=innovus case=sp90_021 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_021 status=PASS
GATE_CASE stage=innovus case=sp90_022 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_022 status=PASS
GATE_CASE stage=innovus case=sp90_023 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_023 status=PASS
GATE_CASE stage=innovus case=sp90_024 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_024 status=PASS
GATE_CASE stage=innovus case=sp90_025 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_025 status=PASS
GATE_CASE stage=innovus case=sp90_026 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_026 status=PASS
GATE_CASE stage=innovus case=sp90_027 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_027 status=PASS
GATE_CASE stage=innovus case=sp90_028 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_028 status=PASS
GATE_CASE stage=innovus case=sp90_029 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_029 status=PASS
GATE_CASE stage=innovus case=sp90_030 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_030 status=PASS
GATE_CASE stage=innovus case=sp90_031 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_031 status=PASS
GATE_CASE stage=innovus case=sp90_032 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_032 status=PASS
GATE_CASE stage=innovus case=sp90_033 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_033 status=PASS
GATE_CASE stage=innovus case=sp90_034 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_034 status=PASS
GATE_CASE stage=innovus case=sp90_035 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_035 status=PASS
GATE_CASE stage=innovus case=sp90_036 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_036 status=PASS
GATE_CASE stage=innovus case=sp90_037 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_037 status=PASS
GATE_CASE stage=innovus case=sp90_038 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_038 status=PASS
GATE_CASE stage=innovus case=sp90_039 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_039 status=PASS
GATE_CASE stage=innovus case=sp90_040 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_040 status=PASS
GATE_CASE stage=innovus case=sp90_041 status=PASS
GATE_TXT_CASE stage=innovus case=sp90_041 status=PASS
GATE_CASE stage=innovus case=sp90_042 status=PASS
